Date,Equity,Cash,Positions
2018-06-08,1039347.04,17067.87,9
2018-06-11,1042051.23,17067.87,9
2018-06-12,1051158.04,7632.44,9
2018-06-13,1055669.7,7632.44,9
2018-06-14,1058546.82,7632.44,9
2018-06-15,1052384.33,331.89,10
2018-06-18,1048174.63,331.89,10
2018-06-19,1033656.79,331.89,10
2018-06-20,1041323.68,331.89,10
2018-06-21,1036924.87,331.89,10
2018-06-22,1041444.68,331.89,10
2018-06-25,1040283.88,331.89,10
2018-06-26,1050028.57,331.89,10
2018-06-27,1030782.87,331.89,10
2018-06-28,1018928.53,131182.01,9
2018-06-29,1036409.38,137352.62,8
2018-07-02,1030538.54,38010.68,9
2018-07-03,1034702.05,38010.68,9
2018-07-04,1038863.28,38010.68,9
2018-07-05,1032759.82,38010.68,9
2018-07-06,1037561.4,38010.68,9
2018-07-09,1038331.37,38010.68,9
2018-07-10,1045867.2,38010.68,9
2018-07-11,1048110.93,38010.68,9
2018-07-12,1044887.15,38010.68,9
2018-07-13,1042129.0,38010.68,9
2018-07-16,1025985.97,38010.68,9
2018-07-17,1048348.91,38010.68,9
2018-07-18,1030519.4,38010.68,9
2018-07-19,1029034.24,38010.68,9
2018-07-20,1026579.43,38010.68,9
2018-07-23,1034758.63,121345.39,8
2018-07-24,1032673.1,121345.39,8
2018-07-25,1032959.23,121345.39,8
2018-07-26,1033105.06,121345.39,8
2018-07-27,1036631.63,109637.31,8
2018-07-30,1027151.53,109637.31,8
2018-07-31,1046283.94,9888.88,9
2018-08-01,1069097.33,167.4,10
2018-08-02,1057257.06,35037.15,9
2018-08-03,1057685.38,35037.15,9
2018-08-06,1062357.42,35037.15,9
2018-08-07,1067789.98,35037.15,9
2018-08-08,1070687.58,35037.15,9
2018-08-09,1077271.89,35037.15,9
2018-08-10,1081315.64,35037.15,9
2018-08-13,1070288.7,35037.15,9
2018-08-14,1083488.49,35037.15,9
2018-08-15,1083488.49,35037.15,9
2018-08-16,1073894.21,35037.15,9
2018-08-17,1077737.43,574.02,10
2018-08-20,1074445.93,574.02,10
2018-08-21,1074853.93,574.02,10
2018-08-22,1074853.93,574.02,10
2018-08-23,1094684.48,574.02,10
2018-08-24,1088245.28,574.02,10
2018-08-27,1086944.53,574.02,10
2018-08-28,1102412.15,133499.37,9
2018-08-29,1103733.58,33585.22,10
2018-08-30,1102461.61,33585.22,10
2018-08-31,1099774.05,33585.22,10
2018-09-03,1081240.34,33585.22,10
2018-09-04,1055508.7,33585.22,10
2018-09-05,1048873.16,33585.22,10
2018-09-06,1044956.43,33585.22,10
2018-09-07,1061598.92,33585.22,10
2018-09-10,1045366.68,33585.22,10
2018-09-11,1032819.57,33585.22,10
2018-09-12,1040544.78,33585.22,10
2018-09-13,1040544.78,33585.22,10
2018-09-14,1046916.65,33585.22,10
2018-09-17,1053435.99,33585.22,10
2018-09-18,1049980.8,33585.22,10
2018-09-19,1044361.24,33585.22,10
2018-09-20,1044361.24,33585.22,10
2018-09-21,1029417.52,33585.22,10
2018-09-24,1006725.04,33585.22,10
2018-09-25,1004512.81,33585.22,10
2018-09-26,1008251.26,33585.22,10
2018-09-27,1000155.67,33585.22,10
2018-09-28,988673.95,33585.22,10
2018-10-01,980656.47,215611.18,9
2018-10-02,980656.47,215611.18,9
2018-10-03,959508.58,215611.18,9
2018-10-04,945143.47,392180.42,7
